fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos,inicio_utc,fin_utc,ordenes_persistidas,ordenes_sin_factura,facturas_importe_distinto,orden_factura_lineas_distintas,orden_factura_estado,ordenes_stock_ausente_o_distinto,ordenes_descuento_duplicado,inventario_exactamente_una_vez_estado,eventos_stock_negativo,stock_no_negativo_estado,outbox_procesados_saga,outbox_no_resueltos_saga,convergencia_compensacion_ms,convergencia_compensacion_estado,cancelados_compensados_estado,inconsistencias,ordenes_con_inconsistencia,tasa_inconsistencia,oracle_pass
omission,2pc,400,4,60.0,300.0,0.1,5.0,400,400,3469,2518,0.725858,244,241,3,0.987705,"{""0"": 2104, ""200"": 948, ""201"": 3, ""401"": 181, ""409"": 1, ""500"": 22, ""503"": 210}",17000,92000,92000,8.834955783124842,0.53,104.2,105.36,111.25,False,,1788733125.48,396.142,2026-09-06T22:18:45.480000+00:00,2026-09-06T22:25:21.622000+00:00,178,62,0,0,verificado_con_violaciones,62,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,62,62,0.348315,false
timing,2pc,50,4,60.0,300.0,0.1,5.0,50,50,779,0,0.0,364,0,364,0.0,"{""200"": 415, ""201"": 365}",18000,40000,47000,2.3358116230687154,0.01,1.6,75.17,77.34,False,,1788733688.203,336.313,2026-09-06T22:28:08.203000+00:00,2026-09-06T22:33:44.516000+00:00,365,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,100,4,60.0,300.0,0.1,5.0,100,100,951,148,0.155626,393,84,309,0.21374,"{""0"": 15, ""200"": 494, ""201"": 310, ""409"": 3, ""500"": 24, ""503"": 106}",35000,73000,90000,2.600656032476427,0.0,0.0,78.29,80.8,False,,1788734273.482,368.188,2026-09-06T22:37:53.482000+00:00,2026-09-06T22:44:01.670000+00:00,349,16,0,0,verificado_con_violaciones,16,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,16,16,0.045845,false
timing,2pc,200,4,60.0,300.0,0.1,5.0,200,200,1682,920,0.546968,449,337,112,0.750557,"{""0"": 98, ""200"": 650, ""201"": 113, ""401"": 16, ""409"": 2, ""500"": 101, ""503"": 703}",37000,90000,90000,4.666719132384647,0.58,104.2,85.79,90.26,False,,1788734979.146,365.774,2026-09-06T22:49:39.146000+00:00,2026-09-06T22:55:44.920000+00:00,250,59,0,0,verificado_con_violaciones,59,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,59,59,0.236,false
timing,2pc,400,4,60.0,300.0,0.1,5.0,400,400,3220,2263,0.702795,258,245,13,0.949612,"{""0"": 1452, ""200"": 944, ""201"": 13, ""401"": 168, ""500"": 25, ""503"": 618}",30000,92000,92000,8.162376101032008,0.0,0.0,105.06,110.05,False,,1788735824.778,396.308,2026-09-06T23:03:44.778000+00:00,2026-09-06T23:10:21.086000+00:00,158,69,0,0,verificado_con_violaciones,69,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,69,69,0.436709,false
none,saga,50,4,60.0,300.0,0.0,5.0,50,50,936,0,0.0,442,0,442,0.0,"{""200"": 494, ""201"": 444}",17000,29000,34000,2.769337303785556,0.0,0.0,74.8,77.22,False,,1788736411.676,340.229,2026-09-06T23:13:31.676000+00:00,2026-09-06T23:19:11.905000+00:00,444,0,0,0,verificado_sin_violaciones,88,0,verificado_con_violaciones,0,verificado_sin_violaciones,355,89,27450875.675,verificado_parcial_con_pendientes,no_verificado,88,88,0.198198,false
none,saga,100,4,60.0,300.0,0.0,5.0,100,100,1070,42,0.039252,471,15,456,0.031847,"{""0"": 1, ""200"": 572, ""201"": 457, ""500"": 2, ""503"": 39}",31000,55000,64000,2.937926302152718,0.58,104.2,77.98,80.33,False,,1788736982.552,366.015,2026-09-06T23:23:02.552000+00:00,2026-09-06T23:29:08.567000+00:00,459,2,0,0,verificado_con_violaciones,459,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,457,no_verificado,no_verificado,no_verificado,459,459,1.0,false
none,saga,200,4,60.0,300.0,0.0,5.0,200,200,1487,657,0.441829,436,243,193,0.557339,"{""0"": 101, ""200"": 637, ""201"": 194, ""401"": 10, ""409"": 2, ""500"": 83, ""503"": 461}",45000,90000,90000,4.000836547933359,0.0,0.0,85.72,89.73,False,,1788737687.718,373.885,2026-09-06T23:34:47.718000+00:00,2026-09-06T23:41:01.603000+00:00,296,52,0,0,verificado_con_violaciones,296,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,244,no_verificado,no_verificado,no_verificado,296,296,1.0,false
none,saga,400,4,60.0,300.0,0.0,5.0,400,400,3826,2843,0.743074,306,289,17,0.944444,"{""0"": 2572, ""200"": 967, ""201"": 18, ""401"": 167, ""500"": 23, ""503"": 83}",17000,90000,92000,9.710640518984558,0.0,0.0,106.37,112.42,False,,1788738539.13,396.587,2026-09-06T23:48:59.130000+00:00,2026-09-06T23:55:35.717000+00:00,239,42,0,0,verificado_con_violaciones,239,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,197,no_verificado,no_verificado,no_verificado,239,239,1.0,false
omission,saga,50,4,60.0,300.0,0.1,5.0,50,50,923,93,0.100758,436,93,343,0.213303,"{""200"": 487, ""201"": 343, ""500"": 94}",16000,30000,39000,2.7357259229785487,0.0,0.0,75.18,77.43,False,,1788739113.028,344.079,2026-09-06T23:58:33.028000+00:00,2026-09-07T00:04:17.107000+00:00,437,94,0,0,verificado_con_violaciones,437,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,343,no_verificado,no_verificado,no_verificado,437,437,1.0,false
omission,saga,100,4,60.0,300.0,0.1,5.0,100,100,990,42,0.042424,442,39,403,0.088235,"{""200"": 545, ""201"": 406, ""500"": 38, ""503"": 4}",34000,60000,69000,2.7116922446538574,0.0,0.0,78.21,80.9,False,,1788739696.231,367.218,2026-09-07T00:08:16.231000+00:00,2026-09-07T00:14:23.449000+00:00,444,38,0,0,verificado_con_violaciones,444,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,406,no_verificado,no_verificado,no_verificado,444,444,1.0,false
omission,saga,200,4,60.0,300.0,0.1,5.0,200,200,1427,501,0.351086,503,284,219,0.564612,"{""0"": 71, ""200"": 707, ""201"": 219, ""401"": 4, ""500"": 168, ""503"": 262}",51000,89000,90000,3.8012144906065464,0.0,0.0,86.14,90.41,False,,1788740377.799,377.164,2026-09-07T00:19:37.799000+00:00,2026-09-07T00:25:54.963000+00:00,409,143,0,0,verificado_con_violaciones,409,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,266,no_verificado,no_verificado,no_verificado,409,409,1.0,false
omission,saga,400,4,60.0,300.0,0.1,5.0,400,400,3185,2119,0.665306,394,372,22,0.944162,"{""0"": 1673, ""200"": 1044, ""201"": 22, ""401"": 183, ""500"": 33, ""503"": 230}",17000,92000,92000,8.09579526088,0.5,97.7,106.11,112.84,False,,1788741234.593,396.136,2026-09-07T00:33:54.593000+00:00,2026-09-07T00:40:30.729000+00:00,234,140,0,0,verificado_con_violaciones,234,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,94,no_verificado,no_verificado,no_verificado,234,234,1.0,false
timing,saga,50,4,60.0,300.0,0.1,5.0,50,50,840,42,0.05,380,16,364,0.042105,"{""200"": 434, ""201"": 368, ""503"": 42}",18000,34000,40000,2.4822197553564407,0.58,97.7,74.98,76.99,False,,1788741798.79,341.369,2026-09-07T00:43:18.790000+00:00,2026-09-07T00:49:00.159000+00:00,368,0,0,0,verificado_sin_violaciones,368,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,368,no_verificado,no_verificado,no_verificado,368,368,1.0,false
timing,saga,100,4,60.0,300.0,0.1,5.0,100,100,944,15,0.01589,417,7,410,0.016787,"{""0"": 1, ""200"": 519, ""201"": 412, ""500"": 2, ""503"": 12}",36000,64000,73000,2.5357628392003098,0.53,97.7,78.12,80.5,False,,1788742383.291,374.004,2026-09-07T00:53:03.291000+00:00,2026-09-07T00:59:17.295000+00:00,414,1,0,0,verificado_con_violaciones,414,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,413,no_verificado,no_verificado,no_verificado,414,414,1.0,false
timing,saga,200,4,60.0,300.0,0.1,5.0,200,200,1418,312,0.220028,559,213,346,0.381038,"{""0"": 50, ""200"": 760, ""201"": 347, ""401"": 8, ""500"": 114, ""503"": 140}",50000,86000,90000,3.659150222121246,0.0,0.0,86.63,91.74,False,,1788743094.756,389.192,2026-09-07T01:04:54.756000+00:00,2026-09-07T01:11:23.948000+00:00,461,75,0,0,verificado_con_violaciones,461,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,386,no_verificado,no_verificado,no_verificado,461,461,1.0,false
timing,saga,400,4,60.0,300.0,0.1,5.0,400,400,3294,2261,0.6864,239,218,21,0.912134,"{""0"": 1835, ""200"": 1012, ""201"": 21, ""401"": 195, ""409"": 10, ""500"": 19, ""503"": 202}",17000,92000,92000,8.351683816435658,0.0,0.0,106.04,112.08,False,,1788743981.166,396.247,2026-09-07T01:19:41.166000+00:00,2026-09-07T01:26:17.413000+00:00,231,107,0,0,verificado_con_violaciones,231,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,124,no_verificado,no_verificado,no_verificado,231,231,1.0,false
none,2pc,50,5,60.0,300.0,0.0,5.0,50,50,681,0,0.0,315,0,315,0.0,"{""200"": 366, ""201"": 316}",21000,44000,56000,2.023902406966625,0.0,0.0,74.9,76.9,False,,1788744559.423,339.915,2026-09-07T01:29:19.423000+00:00,2026-09-07T01:34:59.338000+00:00,316,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
none,2pc,100,5,60.0,300.0,0.0,5.0,100,100,843,84,0.099644,366,76,290,0.20765,"{""0"": 30, ""200"": 469, ""201"": 293, ""409"": 6, ""500"": 43, ""503"": 5}",36000,86000,90000,2.3601315380086034,0.0,0.0,78.58,81.8,False,,1788745133.111,359.734,2026-09-07T01:38:53.111000+00:00,2026-09-07T01:44:52.845000+00:00,365,28,0,0,verificado_con_violaciones,36,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,36,36,0.09863,false
none,2pc,200,5,60.0,300.0,0.0,5.0,200,200,1422,562,0.395218,501,356,145,0.710579,"{""0"": 136, ""200"": 715, ""201"": 145, ""401"": 16, ""409"": 31, ""500"": 135, ""503"": 244}",51000,90000,92000,3.6158234647243135,0.0,0.8,86.66,91.58,False,,1788745835.736,396.04,2026-09-07T01:50:35.736000+00:00,2026-09-07T01:57:11.776000+00:00,356,103,0,0,verificado_con_violaciones,108,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,108,108,0.303371,false
none,2pc,400,5,60.0,300.0,0.0,5.0,400,400,3021,2020,0.668653,353,333,20,0.943343,"{""0"": 1702, ""200"": 981, ""201"": 20, ""401"": 86, ""409"": 4, ""500"": 14, ""503"": 214}",22000,92000,92000,7.661443678014493,0.0,0.0,106.48,111.07,False,,1788746714.269,396.248,2026-09-07T02:05:14.269000+00:00,2026-09-07T02:11:50.517000+00:00,189,48,0,0,verificado_con_violaciones,54,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,54,54,0.285714,false
omission,2pc,50,5,60.0,300.0,0.1,5.0,50,50,709,62,0.087447,317,38,279,0.119874,"{""200"": 368, ""201"": 279, ""500"": 22, ""503"": 41}",20000,42000,49000,2.1563279153756474,0.0,0.0,74.32,76.35,False,,1788747285.644,332.745,2026-09-07T02:14:45.644000+00:00,2026-09-07T02:20:18.389000+00:00,301,22,0,0,verificado_con_violaciones,22,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,22,22,0.07309,false
omission,2pc,100,5,60.0,300.0,0.1,5.0,100,100,901,70,0.077691,386,46,340,0.119171,"{""0"": 2, ""200"": 491, ""201"": 344, ""500"": 35, ""503"": 34}",35000,68000,83000,2.613714692653251,0.01,1.6,78.81,82.12,False,,1788747853.605,346.856,2026-09-07T02:24:13.605000+00:00,2026-09-07T02:30:00.461000+00:00,381,35,0,0,verificado_con_violaciones,35,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,35,35,0.091864,false
omission,2pc,200,5,60.0,300.0,0.1,5.0,200,200,1367,552,0.403804,473,334,139,0.706131,"{""0"": 137, ""200"": 676, ""201"": 141, ""401"": 16, ""409"": 20, ""500"": 158, ""503"": 222}",52000,90000,90000,3.661850512671654,0.0,0.0,86.16,91.07,False,,1788748541.593,378.181,2026-09-07T02:35:41.593000+00:00,2026-09-07T02:41:59.774000+00:00,336,134,0,0,verificado_con_violaciones,134,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,134,134,0.39881,false
omission,2pc,400,5,60.0,300.0,0.1,5.0,400,400,4084,3056,0.748286,409,355,54,0.867971,"{""0"": 2708, ""200"": 974, ""201"": 58, ""401"": 215, ""500"": 47, ""503"": 86}",17000,90000,92000,10.382687799011146,0.5,97.7,106.71,112.29,False,,1788749428.959,396.177,2026-09-07T02:50:28.959000+00:00,2026-09-07T02:57:05.136000+00:00,315,84,0,0,verificado_con_violaciones,126,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,126,126,0.4,false
timing,2pc,50,5,60.0,300.0,0.1,5.0,50,50,842,40,0.047506,387,23,364,0.059432,"{""200"": 438, ""201"": 365, ""503"": 40}",17000,37000,42000,2.440810741566119,0.0,0.0,75.15,77.27,False,,1788750003.829,347.165,2026-09-07T03:00:03.829000+00:00,2026-09-07T03:05:50.994000+00:00,365,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,100,5,60.0,300.0,0.1,5.0,100,100,925,48,0.051892,398,20,378,0.050251,"{""200"": 499, ""201"": 379, ""503"": 48}",39000,73000,83000,2.3826346878856444,0.54,104.2,79.15,81.89,False,,1788750590.675,389.928,2026-09-07T03:09:50.675000+00:00,2026-09-07T03:16:20.603000+00:00,379,0,0,0,verificado_sin_violaciones,0,0,verificado_sin_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,0,0,0.0,no_verificado
timing,2pc,200,5,60.0,300.0,0.1,5.0,200,200,1375,565,0.410909,494,380,114,0.769231,"{""0"": 140, ""200"": 696, ""201"": 115, ""401"": 14, ""409"": 13, ""500"": 139, ""503"": 260}",52000,90000,91000,3.6032133579042793,0.0,0.0,86.38,92.0,False,,1788751323.811,384.498,2026-09-07T03:22:03.811000+00:00,2026-09-07T03:28:28.309000+00:00,329,127,0,0,verificado_con_violaciones,127,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,127,127,0.386018,false
timing,2pc,400,5,60.0,300.0,0.1,5.0,400,400,5005,4307,0.860539,283,235,48,0.830389,"{""0"": 3995, ""200"": 650, ""201"": 48, ""401"": 162, ""500"": 20, ""503"": 134}",17000,81000,92000,12.721558164731507,0.0,0.0,105.76,110.44,False,,1788752186.858,396.143,2026-09-07T03:36:26.858000+00:00,2026-09-07T03:43:03.001000+00:00,233,44,0,0,verificado_con_violaciones,44,0,verificado_con_violaciones,0,verificado_sin_violaciones,no_aplica,no_aplica,no_aplica,no_aplica,no_verificado,44,44,0.188841,false
none,saga,50,5,60.0,300.0,0.0,5.0,50,50,853,99,0.116061,361,20,341,0.055402,"{""200"": 413, ""201"": 343, ""503"": 99}",18000,35000,45000,2.604167797929295,0.0,0.0,75.09,77.24,False,,1788752756.828,329.742,2026-09-07T03:45:56.828000+00:00,2026-09-07T03:51:26.570000+00:00,343,0,0,0,verificado_sin_violaciones,343,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,343,no_verificado,no_verificado,no_verificado,343,343,1.0,false
none,saga,100,5,60.0,300.0,0.0,5.0,100,100,938,4,0.004264,415,2,413,0.004819,"{""200"": 521, ""201"": 419, ""503"": 4}",35000,62000,74000,2.67279873416319,0.6,104.2,77.76,80.33,False,,1788753314.899,353.221,2026-09-07T03:55:14.899000+00:00,2026-09-07T04:01:08.120000+00:00,419,0,0,0,verificado_sin_violaciones,419,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,419,no_verificado,no_verificado,no_verificado,419,419,1.0,false
none,saga,200,5,60.0,300.0,0.0,5.0,200,200,1515,600,0.39604,488,263,225,0.538934,"{""0"": 82, ""200"": 690, ""201"": 225, ""401"": 20, ""409"": 1, ""500"": 117, ""503"": 382}",47000,90000,90000,3.935437776443969,0.51,97.7,86.34,91.09,False,,1788754011.924,387.439,2026-09-07T04:06:51.924000+00:00,2026-09-07T04:13:19.363000+00:00,364,86,0,0,verificado_con_violaciones,364,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,278,no_verificado,no_verificado,no_verificado,364,364,1.0,false
none,saga,400,5,60.0,300.0,0.0,5.0,400,400,3900,3361,0.861795,29,11,18,0.37931,"{""0"": 2011, ""200"": 521, ""201"": 18, ""401"": 170, ""409"": 950, ""500"": 3, ""503"": 229}",17000,83000,90000,10.2093783837577,0.0,0.0,104.24,109.14,False,,1788754882.006,384.18,2026-09-07T04:21:22.006000+00:00,2026-09-07T04:27:46.186000+00:00,27,0,0,0,verificado_sin_violaciones,27,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,27,no_verificado,no_verificado,no_verificado,27,27,1.0,false
omission,saga,50,5,60.0,300.0,0.1,5.0,50,50,600,58,0.096667,268,45,223,0.16791,"{""0"": 2, ""200"": 319, ""201"": 223, ""500"": 31, ""503"": 26}",24000,59000,75000,1.827446302838671,0.0,0.0,74.51,76.66,False,,1788755602.852,333.027,2026-09-07T04:33:22.852000+00:00,2026-09-07T04:38:55.879000+00:00,255,30,0,0,verificado_con_violaciones,255,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,225,no_verificado,no_verificado,no_verificado,255,255,1.0,false
omission,saga,100,5,60.0,300.0,0.1,5.0,100,100,952,85,0.089286,423,82,341,0.193853,"{""0"": 1, ""200"": 526, ""201"": 344, ""500"": 80, ""503"": 4}",34000,61000,73000,2.6384504618525297,0.0,0.0,78.68,81.64,False,,1788756169.887,363.72,2026-09-07T04:42:49.887000+00:00,2026-09-07T04:48:53.607000+00:00,425,80,0,0,verificado_con_violaciones,425,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,345,no_verificado,no_verificado,no_verificado,425,425,1.0,false
omission,saga,200,5,60.0,300.0,0.1,5.0,200,200,1426,544,0.381487,489,300,189,0.613497,"{""0"": 123, ""200"": 693, ""201"": 189, ""401"": 25, ""409"": 23, ""500"": 173, ""503"": 204}",50000,90000,92000,3.7478536940067677,0.52,97.7,86.24,90.97,False,,1788756867.725,383.644,2026-09-07T04:54:27.725000+00:00,2026-09-07T05:00:51.369000+00:00,390,130,0,0,verificado_con_violaciones,390,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,260,no_verificado,no_verificado,no_verificado,390,390,1.0,false
omission,saga,400,5,60.0,300.0,0.1,5.0,400,400,3804,2799,0.735804,309,266,43,0.860841,"{""0"": 2416, ""200"": 962, ""201"": 43, ""401"": 172, ""500"": 18, ""503"": 193}",17000,90000,92000,9.645329573225148,0.5,97.7,106.31,112.13,False,,1788757726.866,396.095,2026-09-07T05:08:46.866000+00:00,2026-09-07T05:15:22.961000+00:00,232,81,0,0,verificado_con_violaciones,232,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,151,no_verificado,no_verificado,no_verificado,232,232,1.0,false
timing,saga,50,5,60.0,300.0,0.1,5.0,50,50,839,0,0.0,394,0,394,0.0,"{""200"": 445, ""201"": 395}",18000,33000,40000,2.5876853524800727,0.6,97.7,74.93,77.11,False,,1788758300.308,328.736,2026-09-07T05:18:20.308000+00:00,2026-09-07T05:23:49.044000+00:00,395,0,0,0,verificado_sin_violaciones,395,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,395,no_verificado,no_verificado,no_verificado,395,395,1.0,false
timing,saga,100,5,60.0,300.0,0.1,5.0,100,100,1010,76,0.075248,427,22,405,0.051522,"{""0"": 2, ""200"": 529, ""201"": 407, ""500"": 2, ""503"": 72}",32000,60000,71000,2.8512589717967636,0.0,0.0,79.09,81.67,False,,1788758879.859,357.398,2026-09-07T05:27:59.859000+00:00,2026-09-07T05:33:57.257000+00:00,409,0,0,0,verificado_sin_violaciones,409,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,409,no_verificado,no_verificado,no_verificado,409,409,1.0,false
timing,saga,200,5,60.0,300.0,0.1,5.0,200,200,1395,413,0.296057,518,256,262,0.494208,"{""0"": 90, ""200"": 720, ""201"": 263, ""401"": 7, ""500"": 94, ""503"": 223}",51000,90000,90000,3.614439439297557,0.0,0.0,86.55,91.27,False,,1788759565.652,388.812,2026-09-07T05:39:25.652000+00:00,2026-09-07T05:45:54.464000+00:00,385,57,0,0,verificado_con_violaciones,385,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,328,no_verificado,no_verificado,no_verificado,385,385,1.0,false
timing,saga,400,5,60.0,300.0,0.1,5.0,400,400,3998,3058,0.764882,305,265,40,0.868852,"{""0"": 2724, ""200"": 901, ""201"": 40, ""401"": 174, ""409"": 1, ""500"": 29, ""503"": 131}",17000,90000,92000,10.137338221032744,0.26,50.4,107.02,112.45,False,,1788760437.579,396.234,2026-09-07T05:53:57.579000+00:00,2026-09-07T06:00:33.813000+00:00,239,40,0,0,verificado_con_violaciones,239,0,verificado_con_violaciones,0,verificado_sin_violaciones,0,199,no_verificado,no_verificado,no_verificado,239,239,1.0,false
